	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_18932	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 04	NA
ASV_18934	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV_18935	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18936	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_18937	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV_18938	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_18939	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA
ASV_18940	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA	NA
ASV_18941	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	NA	NA
ASV_18942	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
ASV_18944	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	NA
ASV_18945	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA
ASV_18946	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA
ASV_18947	Bacteria	Cyanobacteria	NA	NA	NA	NA	NA
ASV_18948	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV_18949	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV_18950	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18951	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA
ASV_18952	Bacteria	Planctomycetota	Pla4 lineage	NA	NA	NA	NA
ASV_18953	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA	NA
ASV_18954	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	NA	NA	NA
ASV_18955	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_18956	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_18957	Bacteria	Elusimicrobiota	Lineage IIc	NA	NA	NA	NA
ASV_18958	Bacteria	NA	NA	NA	NA	NA	NA
ASV_18959	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
ASV_18960	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
ASV_18962	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_18963	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
ASV_18965	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
ASV_18966	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA
ASV_18967	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA
ASV_18968	Bacteria	NA	NA	NA	NA	NA	NA
