	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Pseudonocardiaceae	Nitrosomonadaceae	Chthoniobacteraceae	Nocardioidaceae	Rhodobacteraceae	Bryobacteraceae	Gemmataceae	Nitrososphaeraceae	Xanthobacteraceae	Others	Unclassified
avca-elkld_13_c21	4.44109762776353	2.00688899778053	4.52684979678898	1.36843167209524	3.65923961606088	3.20886057706165	3.7630069466463	2.16181938719626	1.30718012279134	4.00729253739948	1.87501801516156	1.46931657683106	2.74623122820165	0.80419681203701	1.08955697114692	2.34413282218315	1.1003660680829	1.160176404462	0.420834174040873	1.23800190240106	1.46211051220707	0.652148848470873	3.55475167901306	33.6407920906235	15.9916986135532
avca-elkld_14_c21	8.5206962648293	7.30067865098689	4.31021084805471	7.59596953841372	5.36833652800083	4.23897839714034	3.80899342071181	3.39843547635083	2.25612599077864	2.42060819561726	3.26115111640678	2.19007408174895	3.53960524270839	0.926021861886753	1.7652696472051	0.980417551675905	0.875511578511112	1.95176915505362	1.40651712169093	1.2640522198622	0.554317981660882	0.615189348805885	0.797803450240895	19.9683986945034	10.6848676371549
avca-elkld_15_c21	7.70850178835493	7.50162081047808	5.21646014991586	3.6837926236733	5.58578640267488	4.27311202896334	4.19298207274343	3.50167908680988	2.67634053774485	2.52336516677958	3.43903203012886	1.56471950873052	3.42519140132724	1.11453484560414	1.71259570066362	1.39280432993145	1.1844664437597	1.90563604973885	1.98285218936894	1.5115423559664	0.735010234780772	0.778717483627993	0.818782461737946	17.6854097918807	13.8850645046148
avca-elkld_16_c19	8.46206695536309	3.57990506329114	5.14240506329114	2.47439207195203	5.55775316455696	5.51715522984677	3.78705862758161	3.47476682211859	2.42442538307795	1.50524650233178	3.54451199200533	2.37445869420386	1.80608760826116	2.02885576282478	1.39802631578947	1.96431545636242	2.40048301132578	1.24083944037308	3.62258494337109	0.789057295136576	1.40635409726849	0.76199200532978	0.680796135909394	18.5313957361759	15.5250666222518
avca-elkld_17_c19	5.38836387414177	5.61255468543227	3.11531814855755	5.88578723669256	2.68017001136523	4.61770796033068	3.18459933676885	1.93053198611262	2.31196774143326	3.90543507029316	3.63142407871588	2.78525945415765	1.38328844327505	2.29873425604459	4.13118276221762	1.67286824119195	1.55220999205991	1.33736046457318	2.22945306783329	0.852392147094082	1.28209120206754	0.648440784045087	0.98939764288272	21.188366987903	15.3850944248104
avca-elkld_18_c19	7.36398345529749	8.21349029589564	3.63028953229399	15.9775692013999	4.72558065542475	5.12010817690105	3.62631244034362	2.85316576519249	2.23433025771556	1.64015272033089	4.40264078905504	1.39993636652879	2.4140948138721	1.2543748011454	1.72526248806872	0.99586382437162	0.596563792554884	1.7348075087496	3.89993636652879	0.65303849825008	0.58065542475342	0.393732103086223	0.320553611199491	15.7970092268533	8.44654788418708
avca-elkld_19_c19	6.83551539995259	4.40177911629788	3.34769453855914	2.10328913428424	3.09672202004992	4.25258989696184	2.50554230978375	2.02032877399925	2.33125583859678	4.7168890562039	2.95868713486984	2.66309727973676	1.84395086515804	2.47974791204807	1.97989431268387	1.938065559599	0.909078233711186	1.22418817361721	0.845637958199133	1.04362738946752	1.13774208390848	1.30296565859372	1.19142231703406	27.478702193221	15.3915868434629
avca-elkld_20_c19	8.14874931543908	2.8009263841327	3.99915543326933	0.649920491960121	3.58281042775985	4.80677236947155	2.78179166914098	2.50730748167356	2.16486206509762	5.58205823551535	2.28824798590629	3.42643361903442	3.28127371220069	1.91611077020527	2.05467249945565	1.6838549192713	0.571402178718238	0.889434338235779	0.917806501844191	1.83363355041338	0.783863496902156	1.3460282270037	1.04119242265286	26.9462974326491	13.9953944720468
avca-elkld_21_c19	6.85018678924633	3.99407065799226	3.49396958966258	2.71312316111789	3.13686149146908	3.61225696809984	2.64125234890285	2.19655169832227	2.62253599155518	2.40617490061614	2.96467100387054	3.14584534299596	2.15911898362693	2.48702956435807	1.57741459726142	2.26542789336168	0.772611231311717	1.26597441099623	2.22425190719681	0.997207519483728	1.28094749687437	1.08704603475253	0.384808307068045	26.8444970166126	16.8761650932449
avca-elkld_22_c19	6.81052519592893	8.14567892478457	4.18011276995638	2.81392957197064	6.81495797723324	3.69162027022235	4.74396255186354	4.32994077804177	2.22791588354197	2.35380687258413	3.6056243129189	1.74296960885138	1.66051987659137	1.61353239476577	1.5124649810277	1.50271286215823	1.24915777155218	1.77399907798149	3.6614773573531	1.23408631511756	1.02663215007624	0.570942231994042	0.36703429199617	17.7550622362495	14.6113337352388
avca-elkld_23_c19	7.0149879258387	1.29389772553402	2.12678201981094	0.77500814922732	1.51675414612729	2.77738971933396	1.93652250849848	0.842197696928573	3.32421950359564	2.30041045495972	1.40432807126084	3.18252273468112	0.691852768408938	1.58327845078199	7.76804305452997	1.06704984666148	1.18413262285376	0.795630683670279	0.845523912161308	0.994538354587849	0.790308739297903	1.08101995063897	1.74559775413947	40.9756454520659	11.9823577544056
avca-elkld_24_c19	5.34628438799113	1.94345306699945	6.09743495989889	1.15653342023894	1.85760728735285	3.67547115820264	1.50945495878608	2.11593949462272	2.66757811568514	3.04514057246417	1.30596866629043	4.14285373627859	1.04048264405001	3.69534286645417	1.84329965741175	1.89019688888536	1.17402052350028	1.34809668778367	0.533356649471015	1.23363564825487	1.26145603980701	3.63970208334989	1.0714825089224	25.1138648882813	21.2913430890173
