	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Others	Unclassified
avca-elkld_11_c21	6.17047440295127	13.140249822018	3.3738916574979	9.27124457963886	4.81781114490971	4.76020969516536	4.46249433693612	2.56099928807197	1.66332276228076	0.759821370785063	3.45867581386318	1.07824736263025	1.6089573490389	1.04523979030483	29.2861303475503	12.5422302763575
avca-elkld_12_c21	5.06240181877028	5.12002778676813	5.25185705602349	1.61036951665233	4.55008328136471	4.47114359917587	2.59474735354715	3.80805026878962	3.1220644305686	2.43134221141626	1.93954799137979	3.28073319176817	1.83297942042485	1.86929167423172	33.4846343908619	19.5707260082571
avca-elkld_13_c21	4.44109762776353	2.00688899778053	4.52684979678898	1.36843167209524	3.65923961606088	3.20886057706165	3.7630069466463	2.16181938719626	1.30718012279134	4.00729253739948	1.87501801516156	1.46931657683106	2.74623122820165	0.80419681203701	46.6628714726314	15.9916986135532
avca-elkld_14_c21	8.5206962648293	7.30067865098689	4.31021084805471	7.59596953841372	5.36833652800083	4.23897839714034	3.80899342071181	3.39843547635083	2.25612599077864	2.42060819561726	3.26115111640678	2.19007408174895	3.53960524270839	0.926021861886753	30.17924674921	10.6848676371549
avca-elkld_15_c21	7.70850178835493	7.50162081047808	5.21646014991586	3.6837926236733	5.58578640267488	4.27311202896334	4.19298207274343	3.50167908680988	2.67634053774485	2.52336516677958	3.43903203012886	1.56471950873052	3.42519140132724	1.11453484560414	29.7078170414563	13.8850645046148
avca-elkld_16_c19	8.46206695536309	3.57990506329114	5.14240506329114	2.47439207195203	5.55775316455696	5.51715522984677	3.78705862758161	3.47476682211859	2.42442538307795	1.50524650233178	3.54451199200533	2.37445869420386	1.80608760826116	2.02885576282478	32.795844437042	15.5250666222518
avca-elkld_17_c19	5.38836387414177	5.61255468543227	3.11531814855755	5.88578723669256	2.68017001136523	4.61770796033068	3.18459933676885	1.93053198611262	2.31196774143326	3.90543507029316	3.63142407871588	2.78525945415765	1.38328844327505	2.29873425604459	35.8837632918684	15.3850944248104
avca-elkld_18_c19	7.36398345529749	8.21349029589564	3.63028953229399	15.9775692013999	4.72558065542475	5.12010817690105	3.62631244034362	2.85316576519249	2.23433025771556	1.64015272033089	4.40264078905504	1.39993636652879	2.4140948138721	1.2543748011454	26.6974228444161	8.44654788418708
avca-elkld_19_c19	6.83551539995259	4.40177911629788	3.34769453855914	2.10328913428424	3.09672202004992	4.25258989696184	2.50554230978375	2.02032877399925	2.33125583859678	4.7168890562039	2.95868713486984	2.66309727973676	1.84395086515804	2.47974791204807	39.0513238800351	15.3915868434629
avca-elkld_20_c19	8.14874931543908	2.8009263841327	3.99915543326933	0.649920491960121	3.58281042775985	4.80677236947155	2.78179166914098	2.50730748167356	2.16486206509762	5.58205823551535	2.28824798590629	3.42643361903442	3.28127371220069	1.91611077020527	38.0681855671464	13.9953944720468
avca-elkld_21_c19	6.85018678924633	3.99407065799226	3.49396958966258	2.71312316111789	3.13686149146908	3.61225696809984	2.64125234890285	2.19655169832227	2.62253599155518	2.40617490061614	2.96467100387054	3.14584534299596	2.15911898362693	2.48702956435807	38.7001864149192	16.8761650932449
avca-elkld_22_c19	6.81052519592893	8.14567892478457	4.18011276995638	2.81392957197064	6.81495797723324	3.69162027022235	4.74396255186354	4.32994077804177	2.22791588354197	2.35380687258413	3.6056243129189	1.74296960885138	1.66051987659137	1.61353239476577	30.6535692755062	14.6113337352388
avca-elkld_23_c19	7.0149879258387	1.29389772553402	2.12678201981094	0.77500814922732	1.51675414612729	2.77738971933396	1.93652250849848	0.842197696928573	3.32421950359564	2.30041045495972	1.40432807126084	3.18252273468112	0.691852768408938	1.58327845078199	57.2474903706069	11.9823577544056
avca-elkld_24_c19	5.34628438799113	1.94345306699945	6.09743495989889	1.15653342023894	1.85760728735285	3.67547115820264	1.50945495878608	2.11593949462272	2.66757811568514	3.04514057246417	1.30596866629043	4.14285373627859	1.04048264405001	3.69534286645417	39.1091115756675	21.2913430890173
avca-elkld_25_c19	6.32896971143674	3.87355080915981	4.34228300791528	2.95941451876285	3.21114106994635	4.37483385505108	4.0672283496178	2.17276904631443	2.35668133263168	2.12665534620539	2.68273231810858	2.84060392671719	1.58685379787009	2.48037455174771	39.4738698074617	15.1220385510533
avca-elkld_26_c19	4.45416887563012	1.67761413976224	4.02106227929086	1.09714347329925	2.55461006927908	3.92401764774596	1.52665582402573	1.69828105203569	2.73252522711139	2.07298115716738	1.66233859590795	3.50079522684183	1.95077680633306	2.33536108689987	37.7386803727233	27.0529881659463
avca-elkld_27_c19	4.3489637496897	4.39794158889478	3.67467979898958	5.00714539708951	3.00777607063544	2.44352452582071	2.34355605949801	1.82358584875912	2.28115963420934	2.62199172073239	1.81687655571732	3.22113158936443	1.28885519332828	2.71659275262166	33.9631123068562	25.0431072077935
avca-elkld_28_c19	5.8886173821073	2.48951457018856	4.97100550713009	0.479229731208286	4.63693059557241	2.92279076552755	2.41000765892265	2.63831649586053	3.50341004412998	2.70177614063241	1.79510558371932	3.48444509281885	1.83303548634159	3.51508078339837	37.2405995842299	19.4901345782122
avca-elkld_29_c19	6.90526043128197	7.92338521092811	4.43801670731971	5.31223692447169	3.46306329642181	4.61429979637504	3.65589541016398	2.63273397083055	2.83276131269742	2.40104762521496	4.4948590095049	1.8290269893007	1.62899964743382	1.58223066462322	35.6077449435534	10.6784380598787
avca-elkld_30_c19	6.15074098992056	2.81952682809404	5.16069698110645	3.30158690969243	2.53066111978668	4.13238443828582	1.97021226691685	1.22829649472573	3.5392221611846	2.53930240165913	2.41585551776709	4.22373513236592	1.47457302809034	3.31146266040379	36.5890391511792	18.6127039188213
avca-elkld_31_c19	7.49822365544381	3.67361718408395	4.71414516834281	0.954443594228247	3.90864123305641	5.38983930913861	2.6440205509401	2.74991801486664	2.43564167031045	3.37505465675558	1.96491036292086	2.83053672933975	4.19695561871447	2.68228027984259	39.1321873633581	11.8495846086576
avca-elkld_32_c19	6.57111797688523	1.72431056184918	4.57861311362856	0.482749742533471	2.24782583819659	4.36119693328756	1.99393523286417	1.90096120837624	3.54016477857878	6.1627474539421	1.95960636228401	3.84197276576267	3.11534500514933	2.00037189609795	40.0346149445017	15.4844661860625
avca-elkld_33_c13	5.58945586135918	10.1875767736795	3.05235549948541	14.6349722784768	2.87440656020716	3.64064938083065	2.29872846187046	1.80007303874373	2.09753992231334	1.27087414096478	2.14335513429169	1.78944922147339	1.59954848776601	0.991334949038877	32.0699843962684	13.9596958932306
avca-elkld_34_c13	6.54679986399624	11.6040347781034	3.29080517461911	22.1427067985687	5.46605572915823	3.52638310962874	2.89493709826271	3.5741463335654	1.62718779852015	1.38756213266843	2.6601687094215	1.72595243106714	2.097534122371	1.17546103654291	21.3857811310979	8.89448375240839
avca-elkld_35_c13	7.55228448589959	4.23303942286672	5.15995044815274	2.94833491219121	5.95205130073599	4.60030605552722	3.43365153392115	3.09043212125629	2.17080813233258	1.86256649420681	1.99081833418349	2.24586460686439	3.00590249945347	1.99154703781972	32.0053924069081	17.7570502076805
avca-elkld_36_c13	9.18019553323168	8.52617574072413	2.94869495021975	5.22842108410321	5.57598588812151	5.00941788501211	5.81517026938141	4.45331419858283	2.04203665500643	1.53675964959488	3.77986067509792	1.01055401082309	2.68185487487667	1.07931952043532	32.8340359374533	8.29820312733578
avca-elkld_37_c13	5.26644235285035	3.64906682450124	4.6153747177313	2.34371481693548	3.19679355623179	3.96495043007778	1.89530163345921	2.67632545661586	3.35377033782175	2.58883020130342	1.92553896433925	2.12819341598204	2.10824964455053	3.88774873421386	35.870481288239	20.5292176251472
avca-elkld_38_c13	5.45936395759717	6.07854159974301	3.80179890780597	5.23450048185031	3.67651782846129	3.29987150658529	2.52409251525859	2.66061676839062	3.19145518792162	2.58111146803726	1.99405717956955	3.22036620623193	1.97879858657244	3.25248955991005	32.5891423064568	18.4572759396081
avca-elkld_39_c13	7.89140854714625	7.40886937608249	5.17581665122649	2.10335521810932	7.36617392355097	3.97148266000725	3.81761791597857	4.18818222096911	3.59125146010392	2.46666935191525	2.98707052805413	1.59262093688323	3.27385507713377	1.93982357916784	27.6900149031296	14.5357876505417
avca-elkld_40_c13	8.31615120274914	3.02313860252005	4.33814432989691	2.70607101947308	5.53035509736541	5.60916380297824	3.25681557846506	3.0836197021764	2.78946162657503	1.51294387170676	1.84742268041237	1.9106529209622	3.31363115693013	2.04902634593356	32.6726231386025	18.0407789232532
avca-elkld_41_c13	4.95813408930956	8.05219919359613	3.54922944360764	4.02741510066893	4.78185657061296	3.80443719455644	4.5332263390185	2.77176665592339	2.5132701452974	2.84543487269211	4.12344688324245	1.11094301894983	1.85880696953951	1.36615076989864	36.6979537337289	13.0057290193576
avca-elkld_42_c13	6.42266995216698	5.1543701985795	4.88911436440064	3.40701550949413	5.00072474271634	3.78025800840702	2.16915494999275	3.98391071169735	3.95637048847659	3.41063922307581	1.6850268154805	1.92636614002029	2.71850992897521	2.1539353529497	32.8902739527468	16.4516596608204
avca-elkld_43_c13	5.31749940713986	3.23884054798519	4.3780441087944	1.29517138218501	3.06098250606541	3.91743738484832	1.88620733687225	2.39880333461026	2.67425527645524	4.10988890713074	1.55055728853135	2.34681406081833	2.71073897736186	1.65453583611522	44.1014976559222	15.3587259891643
avca-elkld_44_c13	5.74220826898245	5.43332404992784	4.02646614510807	3.12850765037007	3.73868057489598	3.87202403558076	2.99178840587049	3.31501970613802	3.25594348937894	2.27527829117823	2.44491142787216	2.39680650851119	2.19257158771552	1.90225417964234	34.2481707471454	19.0360449316826
avca-elkld_45_c13	4.08248973579465	1.87231641959445	4.48867019776225	1.21289999059767	2.14122292913781	4.26426802895916	1.92810355094493	1.70182091704015	4.24044880433761	4.18716895978939	1.25991161814022	3.14476447174601	1.58335161563293	3.58416648384367	39.8432945748582	20.4651017018209
avca-elkld_46_c13	6.75187982175298	3.45007372648695	4.30139062003568	2.2166825524843	3.90465250792254	3.86473429951691	2.46515303337651	2.86759374669045	3.14702120552989	2.81138239199681	2.43582537005808	2.35273032398921	3.28551294897801	2.60445943413903	36.2905393846079	17.2503686324348
avca-elkld_47_c13	5.32416571170608	3.56773274993923	4.4074035489808	2.99545091502587	3.29478765149147	3.8233149286384	2.06618745008161	3.12185297079557	3.53439594402195	3.12324200437546	2.15439108240442	3.07670937944925	1.94742507900128	3.33645865888808	36.1919644407403	18.0345174844602
avca-elkld_48_c13	5.85384967021485	7.58701756677333	4.51381179390061	4.00509371122576	4.48377195846666	3.88166916998629	3.23254750865278	3.78763142428002	2.90080323907791	1.85136811859205	1.73708613596291	1.80565532554039	2.54097825377131	2.05446352772154	30.8639717886763	18.9002808071573
avca-elkld_49_c12	6.07263152772747	3.5239861376182	4.76965414330589	1.95987262179595	3.44883515984451	3.68834511059088	3.15742237552781	3.27420375106103	3.06713307129611	2.50809630138245	1.61115045874536	2.49079535685901	3.31907807591871	3.07470223452512	32.9247787371392	21.1093149366623
avca-elkld_50_c12	6.57285265067001	9.30180973630302	5.12976083297452	7.56775094270691	5.626231390509	3.39113529311987	2.56455422032594	4.07223287796349	2.92597956707245	1.70013439281847	1.58205138241933	1.69882960817317	2.40406570895474	2.00480160749468	25.6011795253193	17.8566302631751
avca-elkld_51_c12	7.62155527964493	8.97875012487334	4.49615390104323	6.63184484308773	7.28118622539995	5.66782263703957	5.50513051048222	4.10512194773872	3.15037604715217	1.92519016426196	3.59349802343337	1.10816172168229	3.05404518274322	1.20591971000842	26.5195301908065	9.15571349060239
avca-elkld_52_c12	8.53093332331241	7.58646173887991	4.39354652837799	6.46850300001253	7.5958563501309	4.20377538110806	3.31128731226435	3.94824195508123	2.59729685718938	2.84907243871582	2.20898625881528	1.23820976288001	3.00001252614833	1.63340974283817	27.8249596031716	12.609447221074
avca-elkld_53_c12	6.2248428783278	7.98813643104301	3.93192571146106	3.52305628133606	3.67911870630605	5.23197514299838	3.87331403149495	2.8359579125768	2.36918296730457	2.35152884683285	2.69190028952758	1.70256337829249	3.06122448979592	1.43280841748464	33.6198008615211	15.4826636536968
avca-elkld_54_c12	7.57454642346729	12.2302158273381	4.67989244967662	7.64640812602443	6.93021340503355	3.64556839376983	3.31290523137046	4.05251556330693	2.45298710526528	2.26566221770059	2.35851722662274	1.3516459559625	3.33389853773547	1.24829429385784	25.6941921210506	11.2225371218177
avca-elkld_55_c12	5.83417593528817	15.9838220424671	3.00640377485676	17.7074486012808	6.02291877317155	3.46680148297944	4.46376811594203	3.86046511627907	1.76676777890125	1.04347826086957	3.04752275025278	0.765082574991574	2.21368385574655	0.852039096730704	21.9676440849343	7.9979777553084
avca-elkld_56_c12	6.64877403238517	4.04814655108322	4.95442582487027	2.5708890309726	4.46002408814477	3.71953667494387	2.59170594620314	3.64296016534578	3.24520839219068	2.28168260151963	1.71888242903662	1.75159472439891	2.10994305086762	2.59319286871961	32.7182430523546	20.9447905669636
avca-elkld_57_c12	6.1771432531707	3.07782937140481	5.40231478272923	0.943239309723473	3.26703167232656	4.36551389562686	3.79444174925497	3.01822718137085	2.98080255041929	2.10756116154966	1.02432601011851	2.18518261833807	1.91627971446393	3.4888072631506	33.1984198489154	23.0528796174371
avca-elkld_58_c12	9.42935256820429	2.73481971463473	6.4203029824576	1.08694748913468	6.46102196331968	4.09018007761536	3.54836833226688	4.03284110456468	2.97082360371291	1.49663029658376	1.57058926182305	2.11406300639039	2.77720069471567	2.75808770369878	30.2899357637302	18.2188354371473
avca-elkld_59_c12	8.86332076968855	12.7760365006943	3.8960523705614	5.63856377702837	5.84725252926007	4.50545526681214	3.52549097401309	3.37472723665939	2.20829200555445	1.97579845268796	2.90339218409046	0.966474905772664	2.87244594326522	1.54572505455267	28.0142828803809	11.0866891489784
avca-elkld_60_c12	9.08241611581278	6.55921744728289	5.6438317448853	5.20027006233416	6.41947589065616	3.87194020945532	3.32710515159604	4.8744681185134	2.63389282293646	1.42096751401341	2.00348568826642	1.82056556077188	2.39915841040054	1.88729607938577	28.6611502771279	14.1947589065616
avca-elkld_61_c12	6.60889675061429	5.02240362312357	4.90126575308523	3.12893612042206	5.29358726400485	3.78211702193559	2.4186277006518	3.94730502653332	2.99747400009636	2.27546476333377	1.57203917708842	2.77378191053693	2.34498138193532	2.37664241614988	31.3726434898719	19.1838336006167
avca-elkld_62_c12	5.33323140822281	3.46226859814751	5.27908369325638	2.17291595000573	2.78000738957051	3.29855138936666	1.74546751774134	2.42518059855521	2.76790378269566	2.66725273605219	1.19953114449158	2.33918128654971	2.00473951763941	2.88511765979946	40.4451579202181	19.1944094076877
