	Anthophyta	Ascomycota	Basidiobolomycota	Basidiomycota	Blastocladiomycota	Calcarisporiellomycota	Cercozoa	Choanoflagellata	Chytridiomycota	Cryptista_phy_Incertae_sedis	Eukaryota_phy_Incertae_sedis	Glomeromycota	Ichthyosporia_phy_Incertae_sedis	Metazoa_phy_Incertae_sedis	Monoblepharomycota	Mortierellomycota	Mucoromycota	Olpidiomycota	Rozellomycota	Unclassified
avca-elkld_11_c21	0.0216799556765351	94.9798858189001	0	3.85180545853106	0	0.00722665189217835	0	0	0.486594560740009	0	0	0.0385421434249512	0	0	0	0.0529954472093079	0	0	0	0.561269963625861
avca-elkld_12_c21	0	83.2754516174205	0	13.8019885170144	0.57975073519115	0.061616020165243	0	0.121831676235821	0.582551463380479	0	0	0.025206553703963	0	0	0	0.193250245063717	0.0672174765439014	0	0	1.29113569528077
avca-elkld_13_c21	0	69.463251111903	0	15.9493737709678	0.720592311042483	0.0303546211611302	0.0184767259241662	0.0593894761848201	0.593894761848201	0	0	0.853888690923968	0.00791859682464267	0	0	0.143854508981009	0	0	0	12.1590054242388
avca-elkld_14_c21	0.0225652134669194	74.4392544453471	0	21.3602310677859	0.799936817402293	0.0327195595270331	0.00676956404007582	0.0925173752143695	1.70367361675241	0	0	0.181649968408701	0	0.0169239101001895	0	0.227908656015886	0	0	0.00225652134669194	1.11359328459247
avca-elkld_15_c21	0	84.5113713256798	0	9.66247290493503	1.66641817577099	0.0298189074811051	0.0539034096773824	0.027525145367174	0.592937506451206	0	0	0.279838977899602	0	0	0.00229376211393116	0.606700079134793	0	0	0	2.56671980548897
avca-elkld_16_c19	0.0601539942252165	82.6809966848465	0	9.75430435247567	2.16287028125334	0.0882258581969843	0	0.391669340177521	1.29397925355577	0	0	0	0	0	0	1.0039033258475	0	0	0	2.56389690942144
avca-elkld_17_c19	0	56.0397532366936	0	42.1005311497178	0.25589244218214	0.0484120836560806	0.0283556489985615	0.106506584043377	0.0131404227066504	0	0	0.0228228394378665	0	0	0	0.0179816310722585	0.00276640478034746	0	0.00276640478034746	1.36107115193094
avca-elkld_18_c19	0	78.7668266315552	0	17.1220179830564	1.59560645172468	0	0.35169175863204	0.116075605065747	0.857573500112611	0	0	0	0	0	0	0.277195474783874	0	0	0	0.913012595069375
avca-elkld_19_c19	0	82.1220949392953	0	11.5095110665841	1.26155103547371	0.0817305791007	0.0711846979264161	0.0698664627796306	0.380969957421005	0	0	0.551022291356332	0.0738211682199871	0	0.0276829380824952	0.50488406121884	0	0	0	3.34568080254155
avca-elkld_20_c19	0	91.730178342974	0	3.40830809268149	2.20331755109182	0.0185887833094595	0.0765420489213038	0.00546728920866456	0.168392507626868	0	0	0.420981269067171	0	0	0.0295233617267886	0.0142149519425279	0.00656074705039747	0	0	1.91792505439953
avca-elkld_21_c19	0.224212084890362	82.5058168229571	0	8.70196714376366	1.30719875907777	0.298949446520482	0.267926390749489	0.716350560530212	0.300359585419164	0	0.0155115278854967	0.0197419445815413	0.0648663893393499	0	0.00564055559472608	0.263695974053444	0.0253825001762674	0	0	5.28238031446098
avca-elkld_22_c19	0	80.8411755630978	0	3.81440913298365	8.57374267201481	0	0.0771366862079605	0.790651033631595	1.65265350200555	0	0	0	0.0520672631903733	0	0	0	0	0	0	4.19816414686825
avca-elkld_23_c19	0.0337718310765173	88.0270817921585	0	4.78112637097552	0.382747418867196	0.101315493229552	0.239619182400051	0.961693094464636	0.130262777009424	0	0.0160818243221511	1.24634138496671	0	0	0	0.242835547264482	0	0.0997073107973369	0.238010999967836	3.49940497250009
avca-elkld_24_c19	0.0622710092247983	79.4331889997538	0	11.2609155286519	2.17948532286794	0.298321579076941	0.186813027674395	0.402589315453347	0.764630066760315	0	0.0738563132666213	1.97384617612558	0.0391004011411525	0	0.00289632601045574	1.06295164583726	0.0868897803136721	0.147712626533243	0	2.02453188130856
avca-elkld_25_c19	0	79.0017057186462	0	6.96830954304695	2.19588832031601	0.222641170661639	0.0843881856540084	0.348325702486758	0.544034473471586	0	0	0	0	0	0	1.00188526797738	0	0	0	9.63282161773948
avca-elkld_26_c19	0	90.5858035420679	0	3.74876685300888	1.89787194062104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76755766430215
avca-elkld_27_c19	0	78.0610982849604	0	17.7213885224274	1.24196075197889	0.226748021108179	0.0257668205804749	0.231901385224274	0.348367414248021	0	0	0.117496701846966	0	0	0	0.186551781002639	0	0	0	1.83872031662268
avca-elkld_28_c19	0	84.489872468117	0	8.74138989292778	2.40571506512992	0.0750187546886722	0.0937734433608402	0.0869535565709609	0.0204596603696379	0.00340994339493964	0.0170497169746982	0.540476028097934	0	0	0.00511491509240947	1.04685262224647	0	0	0	2.47391393302871
avca-elkld_29_c19	0	82.3281097548834	0	13.1100535632504	1.02546743394198	0.0736743593317536	0.0219031879094403	0.159295912068657	0.62125405706776	0	0	0.219031879094403	0	0	0	0.226996674697836	0	0	0	2.21421317775433
avca-elkld_30_c19	0	71.5596738489605	0	14.0249396531586	1.53953969542921	0.228038755464587	0.392671613068289	0.195779614447646	0.084541197147847	0	0.471650889351146	1.84544534300366	0.0367086777089336	0.00222476834599597	0	4.06910130482663	0.0711925870718711	0	0.0756421237638631	5.40284992825121
avca-elkld_31_c19	0.251239938206358	76.9712984795512	0	11.9952841694447	0.500040653711684	0.126026506220018	0.0187007073745833	0	0.504919099113749	0	0	2.54654849987804	0.010569965037808	0	0	2.82949833319782	0.010569965037808	0.0430929343849093	0	4.19221074884138
avca-elkld_32_c19	0.0108904780919882	89.2356699459106	0	3.63741968272407	0.127963117580862	0.0163357171379824	0.439249283043526	0.0889389044179039	0.0199658765019784	0	0.0117980179329873	1.30776491087959	0	0	0	0.830398954514103	0.00363015936399608	0	0	4.26997495190038
avca-elkld_33_c13	0	77.2621492128679	0	16.758805875849	1.01826988890644	0.0800294845469383	0	0.0157952930026852	1.07829200231664	0	0	0.0231664297372716	0.00315905860053704	0	0	0.465434633812457	0	0	0	3.29489812036013
avca-elkld_34_c13	0	70.4243185864298	0	23.0514380373004	0.820647568998182	0	0	0	0.561696131912909	0	0	0	0	0	0	0.10472300764478	0	0	0.00571216405335161	5.03146450366054
avca-elkld_35_c13	0	82.925	0	9.565	3.60666666666667	0.178333333333333	0.418333333333333	0.13	0.4	0	0	0.00333333333333333	0	0	0	0.715	0.0116666666666667	0	0	2.04666666666665
avca-elkld_36_c13	0	74.1879803279587	0	12.4155787224132	5.939970135759	0.478101839801636	0.25891474992123	0	0.839760538104306	0	0	0	0	0.00684959655876269	0	0.0863049166404099	0	0	0	5.78653917284272
avca-elkld_37_c13	0.0037417214413111	89.4446038140614	0	6.9009815782581	0.250695336567844	0.0074834428826222	0.122229567082829	0.0074834428826222	1.04144580116492	0	0	0.0710927073849109	0.00498896192174813	0.00623620240218517	0.00249448096087407	0.236975691283036	0	0	0	1.89954725170561
avca-elkld_38_c13	0	80.5309571078997	0	12.3985410222079	1.69352232328362	0.076642504270742	0.148667990211921	0.00646382566138788	2.43593887067732	0	0	0.236391338473614	0.00277021099773766	0.0988041922526433	0	0.194838173507549	0	0.00831063299321298	0.00369361466365022	2.16445819289903
avca-elkld_39_c13	0	80.0426761943752	0	9.87259171039736	6.29846043147617	0.0148870445494808	0.392025506469661	0	1.17607651940898	0	0	0	0	0	0	0.0967657895716253	0.00992469636632054	0	0	2.09659210738522
avca-elkld_40_c13	0	70.9475433795188	0	12.3740883495007	7.54395265865226	0.0988666160393174	1.55177601696494	0	3.61221360920463	0	0	0.273674255992893	0	0.157613445859781	0	0.234987319281856	0.199166081586451	0	0	3.00611826739838
avca-elkld_41_c13	0	84.4666474985624	0	8.32135326816178	4.46856430898984	0	0	0	0.321065746597662	0	0	0.00718803910293272	0	0	0	0.587023193406172	0	0	0	1.82815794517921
avca-elkld_42_c13	0	76.3074927889453	0	19.3032667754847	0.836258748295061	0	0.02459584553809	0	0.315274020079154	0	0	0	0	0	0	1.08892516154999	0	0	0	2.12418666010778
avca-elkld_43_c13	0	77.7137607805713	0	16.8868118048928	0.25507701363681	0	0.0535126602035265	0	0.0187294310712343	0	0	1.57862347600403	0	0	0	0.424533770947977	0.0285400854418808	0.0035675106802351	0	3.03684346655014
avca-elkld_44_c13	0	72.4343500841197	0	20.8750883866091	0.714407626850023	0.12922731816741	0.0658327847267939	0.0170677590032429	1.16792236607905	0	0	0.351108185209568	0	0	0	0.839977568088167	0.0524224026528174	0	0.00243825128617755	3.35015726720796
avca-elkld_45_c13	0	73.0384263494968	0	13.3549862763038	0.133577310155535	0.0658737419945105	0.00731930466605672	0.0228728270814273	0.460201280878317	0	0	3.64501372369625	0	0.00274473924977127	0	4.96248856358646	0	0	0.00274473924977127	4.30375114364135
avca-elkld_46_c13	0	77.762520689021	0	13.5609636486238	1.26279654263471	0.0465886103107951	0.291791822472874	0.0784650278918654	1.47612333721572	0	0	1.88193465334396	0	0.0343284497026911	0	0.654692576472752	0.018390240912156	0	0.00735609636486238	2.92404830503278
avca-elkld_47_c13	0	85.8834303656702	0	7.63230195591025	0.518414338980833	0.0049061293909858	0	0	0.360600510237457	0	0	2.40727415451037	0	0	0.00327075292732387	0.658239026623929	0.00408844115915484	0	0	2.52747432458952
avca-elkld_48_c13	0	79.8027154336381	1.71127736215018	12.9254641174841	1.03186478248822	0.136325852036575	0.251593239124411	0	1.18259905791078	0	0	0.0166251039068994	0	0	0	0.179551122194514	0.00775838182321973	0	0	2.75422554724301
avca-elkld_49_c12	0	78.3198231392778	0	16.1626582702485	2.00442151805453	0.389897501172372	0.0924499229583975	0.00803912373551283	0.140684665371475	0	0	1.4537415421719	0	0	0.0200978093387821	0.0884303610906411	0	0	0	1.31975614658003
avca-elkld_50_c12	0	53.045415959253	0	42.3858705904546	1.99726466704395	0.182748538011696	0.219298245614035	0.0483399358611583	0.0459818902093945	0	0	0	0	0.0412657989058668	0.00353706847764573	0.403225806451613	0	0	0	1.62705149971704
avca-elkld_51_c12	0	83.0651074353462	0	12.9705345048281	1.15699603564194	0	0.00497098189319845	0.123031801856662	1.00662383337269	0	0	0	0	0	0	0	0	0	0	1.67273540706128
avca-elkld_52_c12	0	69.1819838979189	0	25.0721555521799	0.949415160261279	0.0284824548078384	0.280077472277077	0.0493695883335865	1.51051951997569	0	0	0	0	0.0161400577244417	0.00379766064104512	0.314256418046483	0.0047470758013064	0	0	2.58905514203251
avca-elkld_53_c12	0	85.7788955810003	0	9.29688706510468	0.983960994550709	0.0213265088505012	0.196350960795994	0.04412381141483	0.787610033754716	0	0	0.0801582574036079	0.00588317485531067	0.00588317485531067	0	1.88555754112707	0	0	0	0.913362896286984
avca-elkld_54_c12	0	78.7779323133982	0	18.6713027352805	0.501622624014835	0.0166898470097357	0.0278164116828929	0.0370885489105239	0.331015299026426	0	0	0.00185442744552619	0	0.0111265646731572	0	0.166898470097357	0	0	0	1.45665275846082
avca-elkld_55_c12	0	66.7964161099714	0	29.3654550874055	2.0242666526397	0.00350674171093928	0.199007592095804	0	0.450616309855698	0	0	0	0	0	0	0.0701348342187856	0	0	0	1.09059667210212
avca-elkld_56_c12	0	83.4522897554231	0	10.5080248874274	1.12759477588236	0.020552680256348	0.312961267539844	0.0541843388576447	1.57788531604417	0	0	0.0242895312120476	0	0.0270921694288223	0.00653948917247436	0.970647035742979	0	0	0.00280263821677472	1.91513611479606
avca-elkld_57_c12	0	75.5771737106684	0	11.473654812884	5.32023831688699	1.15745050580277	0.307205362129957	0	1.21796065288897	0	0	0.44374107863216	0	0.03723701359151	0.0170669645627754	1.52206293055297	0.0139638800968162	0	0	2.91224477130268
avca-elkld_58_c12	0	79.9580302986748	0	9.27789116624026	2.06973869548969	0.135107942622244	0.0661166527725875	0.103486934774485	0.569178141259666	0	0	0.215597780780176	0.0143731853853451	0	0.0143731853853451	0.865265760197775	0	0	0	6.71084025641764
avca-elkld_59_c12	0	86.640421289432	0	9.25814203180122	1.5491589549568	0	0.174855565212945	0	0.821105373485352	0	0	0	0	0.0102254716498799	0	0.230073112122297	0.00306764149496396	0	0	1.31295055984457
avca-elkld_60_c12	0	82.8183088956964	0	11.9397436278738	1.90197186449752	0	0.220087440145139	0	1.13761413318264	0	0	0	0	0.0193320048776135	0	0.236445290426196	0	0	0	1.72649674330071
avca-elkld_61_c12	0	83.8493714072066	0	10.6849090994065	1.35766696265832	0.067766509323737	0.266392484927794	0.0479039117633313	0.633266345749404	0	0	0.105154928260971	0	0.0315464784782914	0	0.115670421087068	0	0.0151890451932514	0	2.82516240594475
avca-elkld_62_c12	0	63.1965876666861	0	34.1131427240436	0.349385663541606	0.0131019623828102	0.0342106795551156	0	0	0	0	0.0487684155360158	0	0.0131019623828102	0	0.200168869737378	0	0.0131019623828102	0.00727886799045013	2.01115122576137
