	Actinobacteriota	Proteobacteria	Acidobacteriota	Gemmatimonadota	Chloroflexi	Bacteroidota	Myxococcota	Planctomycetota	Verrucomicrobiota	Firmicutes	Crenarchaeota	Others	Unclassified
avca-elkld_14_c21	35.7677563073097	35.6382427601927	4.63658498678962	4.67802932186707	3.1160959436357	5.27508677407657	4.03305185722427	1.3378749417189	1.27570843910273	1.31585763870901	0.615189348805885	2.04501890897788	0.265502771589908
avca-elkld_15_c21	33.3428032372502	35.8421294171638	5.33956890083554	5.64479118861863	3.87828988104344	4.9279923075242	2.79435010963235	1.73590623338214	1.61571129905228	0.754678496762021	0.778717483627993	3.00560181239392	0.339459632713414
avca-elkld_16_c19	30.1590606262492	34.6779230512991	7.59597768154564	5.62853930712858	3.91718021319121	4.53551798800799	2.53685043304464	2.76482345103264	3.30300632911392	0.643321119253831	0.76199200532978	3.19058127914723	0.28522651565622
avca-elkld_17_c19	35.1816101259516	31.5968924662546	9.5475704877707	3.65477728822531	4.93920381124379	4.12261991873083	1.94143015055036	2.27460260621818	2.05975307873145	1.15987607230154	0.648440784045087	2.4123865423238	0.460836667652686
avca-elkld_18_c19	40.3499840916322	37.098313713013	4.15924276169265	4.06856506522431	2.04263442570792	4.53627107858734	2.5771555838371	1.36493795736557	0.9608654152084	0.414412981228126	0.393732103086223	1.91059497295577	0.123289850461347
avca-elkld_19_c19	28.2351054781724	31.7842751774236	11.8472971654048	3.67883883381436	4.76011210105827	3.07371620585324	6.90871571785112	2.36193025752569	1.62574420323197	1.89205393120564	1.30296565859372	2.21762105938289	0.311624210482293
avca-elkld_20_c19	27.8528870326016	31.5023390539533	11.0103789333386	6.53021635424296	5.28580006202287	3.18494031948376	4.58573342042928	2.20115204180605	1.46677487677903	2.33245577571475	1.3460282270037	2.38128228983155	0.320011612792541
avca-elkld_21_c19	29.4385841449994	30.9890471876801	9.90918823414912	4.08690379043669	5.81704386365508	3.82562344186325	5.59843680983432	2.26243327618606	1.44714875012166	1.38650775231521	1.08704603475253	3.68038450884535	0.47165220516122
avca-elkld_22_c19	34.545551260683	34.3708996772935	6.62168871236569	4.48952090499663	2.58431150040782	5.51703961133374	2.44866839249619	2.18624773928153	2.04351218128302	0.36792084825703	0.570942231994042	3.87070463491613	0.382992304691655
avca-elkld_23_c19	32.953479553755	28.8249812068839	7.82325822739338	6.55064827934886	6.31980894219703	3.10868075651439	5.33990593463322	2.65165878353656	2.05493577078386	1.14488328310748	1.08101995063897	2.01834740322377	0.12839190798357
avca-elkld_24_c19	32.2303210473185	22.7324393714181	14.17409206165	6.64430437098095	6.19679350115653	1.78686400597741	2.89650019474274	2.9688332127783	1.94742740864976	1.48958325053455	3.63970208334989	3.00857662928136	0.284562862161891
avca-elkld_25_c19	41.0059296793199	28.1537702018695	7.2268305782658	4.80559006548145	3.76504798537382	4.71824529233373	1.89391678918444	2.03931057305766	1.59933162260548	0.933124284559506	0.962420046981723	2.53245590716498	0.364026973801984
avca-elkld_26_c19	34.2190153564144	24.1452434652122	9.24709540026418	4.59973582294746	9.01616511964345	2.24460638517733	3.32377863041271	5.59264617347626	2.13767757819731	1.11152045575034	0.978533368077708	3.00928213929499	0.37470010513168
avca-elkld_27_c19	40.4375800921857	22.4895502760874	8.44498715170383	3.98464913752038	5.99944983797057	3.02790394976081	1.85579045535972	2.44620824303743	2.3341630492395	0.890994115950002	2.14026448033171	5.49893657705288	0.449522633800072
avca-elkld_28_c19	33.9034975746745	25.0257120974507	12.8130128742843	5.92727670593384	5.31602173675189	2.82067179692914	3.25686567708523	2.90893176264634	2.06426200809658	0.935117983879791	1.7214340420876	3.07451037601663	0.23268536416353
avca-elkld_29_c19	29.255078032249	37.6087378850346	6.90813852253186	4.84526661917816	3.89189889265439	5.42448248321713	3.03854483706406	1.45991178650319	1.16059029651535	2.60611162676913	0.564105884977083	2.92701880113109	0.310114332174905
avca-elkld_30_c19	32.2239573367569	29.0865547826409	11.9799028473024	6.11123798707511	4.41631227123749	2.46832044342121	4.03177522791381	2.55473326214563	1.54864115842556	1.247430761729	1.3418676279064	2.74607593217828	0.24319036126731
avca-elkld_31_c19	30.6392107564495	32.6150524704854	9.41530935723656	5.37754153913424	4.14571491036292	3.35660800174902	5.23133471797114	2.61464254481854	1.68001202448623	1.41151071272409	1.66224857892436	1.71212286838653	0.138691517271539
