	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4310	NA	NA	NA	NA	NA	NA	NA
ASV_4311	NA	NA	NA	NA	NA	NA	NA
ASV_4312	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV_4313	NA	NA	NA	NA	NA	NA	NA
ASV_4314	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	NA
ASV_4315	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	domesticus
ASV_4316	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	NA	NA
ASV_4317	Fungi	Ascomycota	Sordariomycetes	Delonicicolales	Delonicicolaceae	Furfurella	NA
ASV_4318	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	paraflava
ASV_4319	Fungi	NA	NA	NA	NA	NA	NA
ASV_4320	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	NA	NA
ASV_4321	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	kotlabae
ASV_4322	NA	NA	NA	NA	NA	NA	NA
ASV_4323	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Libertasomycetaceae	Libertasomyces	NA
ASV_4324	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Paracylindrocarpon	NA
ASV_4325	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	NA
ASV_4326	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	thailandicum
ASV_4327	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Myxotrichum	deflexum
ASV_4328	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV_4329	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	NA	NA
ASV_4330	NA	NA	NA	NA	NA	NA	NA
ASV_4331	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	NA
ASV_4332	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_4333	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporiaceae_gen_Incertae_sedis	NA
ASV_4334	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV_4335	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	minutispora
ASV_4336	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	domesticus
ASV_4337	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ascotricha	guamensis
ASV_4338	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Waitea	circinata
ASV_4339	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Kiflimonium	curvulum
ASV_4340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	NA
ASV_4341	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	NA
ASV_4342	Fungi	NA	NA	NA	NA	NA	NA
ASV_4343	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV_4344	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV_4345	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Lentitheciaceae_gen_Incertae_sedis	NA
ASV_4346	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV_4347	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
ASV_4348	Fungi	Ascomycota	Eurotiomycetes	Mycocaliciales	Mycocaliciaceae	Mycocalicium	victoriae
ASV_4349	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	wieringae
ASV_4350	NA	NA	NA	NA	NA	NA	NA
ASV_4351	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	NA	NA
ASV_4352	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	NA
ASV_4353	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	rhododendri
ASV_4354	NA	NA	NA	NA	NA	NA	NA
ASV_4355	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	pseudoamylolytica
ASV_4356	Fungi	Basidiomycota	Agaricomycetes	Tremellodendropsidales	Tremellodendropsidales_fam_Incertae_sedis	Tremellodendropsidales_gen_Incertae_sedis	NA
ASV_4357	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	funiculosus
ASV_4358	Fungi	Monoblepharomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidales_fam_Incertae_sedis	Monoblepharidales_gen_Incertae_sedis	NA
ASV_4359	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	asiaticiphlyctidospora
ASV_4360	Choanoflagellozoa	Choanoflagellata	Choanoflagellata_cls_Incertae_sedis	Choanoflagellida	Choanoflagellida_fam_Incertae_sedis	Choanoflagellida_gen_Incertae_sedis	NA
ASV_4361	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	cycadicola
ASV_4362	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV_4363	NA	NA	NA	NA	NA	NA	NA
ASV_4364	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	pinkertoniae
