asv	avca-elkld_01_c21	avca-elkld_02_c21	avca-elkld_03_c21	avca-elkld_04_c21	avca-elkld_05_c21	avca-elkld_06_c21	avca-elkld_07_c21	avca-elkld_08_c21	avca-elkld_09_c21	avca-elkld_10_c21	avca-elkld_11_c21	avca-elkld_12_c21	avca-elkld_13_c21	avca-elkld_14_c21	avca-elkld_15_c21	avca-elkld_16_c19	avca-elkld_17_c19	avca-elkld_18_c19	avca-elkld_19_c19	avca-elkld_20_c19	avca-elkld_21_c19	avca-elkld_22_c19	avca-elkld_23_c19	avca-elkld_24_c19	avca-elkld_25_c19	avca-elkld_26_c19	avca-elkld_27_c19	avca-elkld_28_c19	avca-elkld_29_c19	avca-elkld_30_c19	avca-elkld_31_c19	avca-elkld_32_c19	avca-elkld_33_c13	avca-elkld_34_c13	avca-elkld_35_c13	avca-elkld_36_c13	avca-elkld_37_c13	avca-elkld_38_c13	avca-elkld_39_c13	avca-elkld_40_c13	avca-elkld_41_c13	avca-elkld_42_c13	avca-elkld_43_c13	avca-elkld_44_c13	avca-elkld_45_c13	avca-elkld_46_c13	avca-elkld_47_c13	avca-elkld_48_c13	avca-elkld_49_c12	avca-elkld_50_c12	avca-elkld_51_c12	avca-elkld_52_c12	avca-elkld_53_c12	avca-elkld_54_c12	avca-elkld_55_c12	avca-elkld_56_c12	avca-elkld_57_c12	avca-elkld_58_c12	avca-elkld_59_c12	avca-elkld_60_c12	avca-elkld_61_c12	avca-elkld_62_c12	taxonomy
ASV_1478	0	0	6	0	7	22	0	0	0	0	0	0	0	12	0	0	12	0	0	0	50	0	0	30	0	0	17	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Warcupia;s__terrestris
ASV_1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__NA;s__NA
ASV_1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	56	0	0	0	0	0	0	0	0	0	64	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma;s__NA
ASV_1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	18	0	46	0	29	53	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium;s__lilacinum
ASV_1482	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__NA;p__NA;c__NA;o__NA;f__NA;g__NA;s__NA
ASV_1483	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	16	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Neophaeococcomyces;s__NA
ASV_1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	22	0	0	0	0	0	0	91	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__terricola
ASV_1485	0	0	0	60	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__terricola
ASV_1486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	102	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiales_fam_Incertae_sedis;g__Olpidiales_gen_Incertae_sedis;s__NA
ASV_1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__NA
