Sample,Year,year.xaxis,Treatment,rich,shan
53,2012,2012-01-01,Control,10,1.206404981310975
54,2012,2012-01-01,Control,9,1.344736136443686
55,2012,2012-01-01,Control,10,1.3159533061953577
56,2012,2012-01-01,Control,11,1.499312629669077
57,2012,2012-01-01,Control,8,1.0934591796547022
58,2012,2012-01-01,Control,9,1.31007346159741
59,2012,2012-01-01,Control,7,1.1372971999925725
60,2012,2012-01-01,Control,8,1.3305722593852414
61,2012,2012-01-01,Control,8,0.9301716602114676
62,2012,2012-01-01,Control,8,0.7221063497966999
1,2013,2013-01-01,Treated,7,0.7638829920310414
2,2013,2013-01-01,Treated,7,1.6155508201687547
3,2013,2013-01-01,Treated,8,1.4909804269614948
4,2013,2013-01-01,Treated,5,0.9192714310988694
5,2013,2013-01-01,Treated,6,1.109276691781655
6,2013,2013-01-01,Treated,7,1.2681178594897429
7,2013,2013-01-01,Treated,7,0.8048709935659161
8,2013,2013-01-01,Treated,2,0.3767701612564367
9,2013,2013-01-01,Treated,4,1.1461185601311967
10,2013,2013-01-01,Treated,6,1.0216176699570263
11,2013,2013-01-01,Treated,3,0.20415874530215228
12,2013,2013-01-01,Treated,11,1.781952453118717
13,2013,2013-01-01,Treated,6,1.3447910529958231
14,2013,2013-01-01,Treated,11,2.0202972345159793
15,2013,2013-01-01,Treated,11,1.4917613225700257
16,2013,2013-01-01,Control,12,1.141400851741746
17,2013,2013-01-01,Control,13,1.7822225339860789
18,2013,2013-01-01,Control,8,1.1067653463586924
19,2013,2013-01-01,Control,13,1.1810588188159017
20,2013,2013-01-01,Control,13,1.7992141646059927
21,2013,2013-01-01,Control,6,1.1691821422792965
22,2013,2013-01-01,Control,7,0.5199575880351193
23,2013,2013-01-01,Control,8,1.2884094283585013
24,2013,2013-01-01,Control,7,1.0454180658525711
25,2013,2013-01-01,Control,4,0.12983133821019202
26,2013,2013-01-01,Control,7,0.7172656334569699
27,2013,2013-01-01,Control,4,0.315943299649481
28,2013,2013-01-01,Control,8,1.433323719418388
29,2013,2013-01-01,Control,6,1.335033008159687
30,2013,2013-01-01,Control,8,1.390860611599628
31,2013,2013-01-01,Control,8,1.6223781183374346
32,2013,2013-01-01,Control,8,1.764127550952301
33,2013,2013-01-01,Treated,4,0.20208007869497535
34,2013,2013-01-01,Treated,5,0.6377247430871898
35,2013,2013-01-01,Treated,3,0.5688940369147154
37,2013,2013-01-01,Treated,5,0.6740488082521148
38,2013,2013-01-01,Treated,8,1.2339981299694376
39,2013,2013-01-01,Treated,7,0.6507940596261854
40,2013,2013-01-01,Treated,7,1.4645180352697629
41,2013,2013-01-01,Treated,10,1.512694274570601
42,2013,2013-01-01,Treated,8,0.8506101837804652
43,2013,2013-01-01,Treated,7,1.094090703516435
44,2013,2013-01-01,Treated,7,0.9380736820387028
45,2013,2013-01-01,Treated,8,0.9874859309532588
46,2013,2013-01-01,Treated,9,1.5284271735845398
47,2013,2013-01-01,Treated,9,1.1402469654283862
49,2013,2013-01-01,Control,11,1.7005648133026516
50,2013,2013-01-01,Control,11,1.9400757580387176
51,2013,2013-01-01,Control,13,1.1071779328042617
52,2013,2013-01-01,Control,13,1.6455346339996122
53,2013,2013-01-01,Control,12,1.3122833085570105
54,2013,2013-01-01,Control,7,1.2445010254415043
55,2013,2013-01-01,Control,13,1.3182322949441134
56,2013,2013-01-01,Control,11,1.84292824130743
57,2013,2013-01-01,Control,8,1.5206147107032848
59,2013,2013-01-01,Control,10,1.9102964181454511
60,2013,2013-01-01,Control,10,1.4350750976554272
61,2013,2013-01-01,Control,9,0.9742299163147752
62,2013,2013-01-01,Control,6,0.712864890782891
1,2014,2014-01-01,Treated,6,1.0713430766223777
2,2014,2014-01-01,Treated,6,0.9729485774295578
3,2014,2014-01-01,Treated,10,1.5752354769267545
4,2014,2014-01-01,Treated,5,0.6588591046590575
5,2014,2014-01-01,Treated,5,1.2206704026623898
6,2014,2014-01-01,Treated,11,1.1018023972650446
7,2014,2014-01-01,Treated,7,0.8752890933695314
8,2014,2014-01-01,Treated,5,1.4585847528070075
9,2014,2014-01-01,Treated,9,1.3325346058832137
10,2014,2014-01-01,Treated,10,1.6314372561321429
11,2014,2014-01-01,Treated,11,0.6600746548072922
12,2014,2014-01-01,Treated,10,1.4613218202792548
13,2014,2014-01-01,Treated,9,0.8827620706486902
14,2014,2014-01-01,Treated,14,1.922293377289475
15,2014,2014-01-01,Treated,12,1.6477857948842751
17,2014,2014-01-01,Control,10,1.4266972549720958
18,2014,2014-01-01,Control,11,1.4658920694101585
19,2014,2014-01-01,Control,9,1.134224654338717
20,2014,2014-01-01,Control,14,1.9102190689065284
21,2014,2014-01-01,Control,10,1.1949828548745118
22,2014,2014-01-01,Control,8,1.155990178057232
23,2014,2014-01-01,Control,10,1.4557028574044395
24,2014,2014-01-01,Control,7,1.3265470283181178
25,2014,2014-01-01,Control,5,0.5195808072725013
26,2014,2014-01-01,Control,6,1.0092287919357543
27,2014,2014-01-01,Control,4,0.8401154402103026
28,2014,2014-01-01,Control,5,1.225329753480592
29,2014,2014-01-01,Control,8,1.185951234715155
30,2014,2014-01-01,Control,9,1.9866242392846911
31,2014,2014-01-01,Control,7,1.6919861508900822
32,2014,2014-01-01,Control,7,1.0794413058104724
33,2014,2014-01-01,Treated,7,0.73274718391642
34,2014,2014-01-01,Treated,6,0.3519800993108819
35,2014,2014-01-01,Treated,6,0.8319933538873275
36,2014,2014-01-01,Treated,3,0.4755344528635275
37,2014,2014-01-01,Treated,9,1.4436325396229035
38,2014,2014-01-01,Treated,7,0.5165719152104045
39,2014,2014-01-01,Treated,6,1.2955612194204866
40,2014,2014-01-01,Treated,7,1.632679220915206
41,2014,2014-01-01,Treated,7,1.2165681438457097
42,2014,2014-01-01,Treated,5,0.30270454097659844
43,2014,2014-01-01,Treated,5,0.9983831216748524
44,2014,2014-01-01,Treated,8,1.2043480627969194
45,2014,2014-01-01,Treated,8,1.3948456229147317
46,2014,2014-01-01,Treated,6,1.2361268284672104
47,2014,2014-01-01,Treated,10,1.029233426410133
48,2014,2014-01-01,Treated,10,1.88909725382312
49,2014,2014-01-01,Control,6,0.9380737718119684
50,2014,2014-01-01,Control,7,1.3124269259905543
51,2014,2014-01-01,Control,11,1.2137200825904062
52,2014,2014-01-01,Control,7,1.2844264323753003
53,2014,2014-01-01,Control,10,1.5506895388334248
54,2014,2014-01-01,Control,5,1.351840334503312
55,2014,2014-01-01,Control,12,0.8633000959360821
56,2014,2014-01-01,Control,10,1.6996124295317678
57,2014,2014-01-01,Control,7,1.3114175835248585
58,2014,2014-01-01,Control,4,0.42053639582162294
59,2014,2014-01-01,Control,10,1.1191348058140569
60,2014,2014-01-01,Control,9,0.9144873205483944
61,2014,2014-01-01,Control,9,0.4800256805908821
62,2014,2014-01-01,Control,9,0.8349852790036991
1,2015,2015-01-01,Treated,8,1.464560379627592
2,2015,2015-01-01,Treated,5,0.61509532980796
3,2015,2015-01-01,Treated,4,0.7451332130095498
4,2015,2015-01-01,Treated,2,0.0740225961475812
5,2015,2015-01-01,Treated,5,1.1339019244985509
6,2015,2015-01-01,Treated,7,1.241377552354654
7,2015,2015-01-01,Treated,6,0.5476453199877609
8,2015,2015-01-01,Treated,0,0
9,2015,2015-01-01,Treated,10,1.4642849057281726
10,2015,2015-01-01,Treated,11,1.448734572377301
11,2015,2015-01-01,Treated,6,0.6114210101244139
12,2015,2015-01-01,Treated,8,1.2831366931034065
13,2015,2015-01-01,Treated,5,0.8989958947287192
14,2015,2015-01-01,Treated,14,1.7592751473750834
15,2015,2015-01-01,Treated,9,1.6483769650650917
16,2015,2015-01-01,Control,10,1.5375637269808595
17,2015,2015-01-01,Control,11,1.403029354577777
18,2015,2015-01-01,Control,14,1.3668195094310387
19,2015,2015-01-01,Control,12,0.8857469031969778
20,2015,2015-01-01,Control,9,1.8329653791248377
21,2015,2015-01-01,Control,7,0.996037225790972
22,2015,2015-01-01,Control,11,1.1941319761242826
23,2015,2015-01-01,Control,11,1.4513973854146047
24,2015,2015-01-01,Control,8,0.7577881758382199
25,2015,2015-01-01,Control,5,0.9366990773393188
26,2015,2015-01-01,Control,3,0.8018185525433373
27,2015,2015-01-01,Control,7,0.8847901688766706
28,2015,2015-01-01,Control,7,1.0924520511059004
29,2015,2015-01-01,Control,8,1.525741844492824
30,2015,2015-01-01,Control,10,1.485412827734356
31,2015,2015-01-01,Control,8,1.3393942490389694
32,2015,2015-01-01,Control,8,0.9361424941092852
33,2015,2015-01-01,Treated,8,1.4507251975609745
34,2015,2015-01-01,Treated,7,0.9243048140901214
35,2015,2015-01-01,Treated,7,0.6196449833099272
36,2015,2015-01-01,Treated,5,0.9049840248714256
37,2015,2015-01-01,Treated,9,1.5414683512471778
38,2015,2015-01-01,Treated,8,1.2386575154530193
39,2015,2015-01-01,Treated,8,1.4299310462453472
40,2015,2015-01-01,Treated,7,1.1834909080184528
41,2015,2015-01-01,Treated,10,1.3523857193945037
42,2015,2015-01-01,Treated,5,0.6587945660133118
43,2015,2015-01-01,Treated,7,1.064617350036614
44,2015,2015-01-01,Treated,10,1.2350490863966268
45,2015,2015-01-01,Treated,8,1.5879052390307984
46,2015,2015-01-01,Treated,8,1.6729720342966017
47,2015,2015-01-01,Treated,8,1.374772985245372
48,2015,2015-01-01,Treated,9,1.7013529460494117
49,2015,2015-01-01,Control,6,1.0521532122310386
50,2015,2015-01-01,Control,7,1.2820762058956772
51,2015,2015-01-01,Control,10,1.1927979937500277
52,2015,2015-01-01,Control,11,1.1647861614307584
53,2015,2015-01-01,Control,12,1.0859544992109176
54,2015,2015-01-01,Control,6,1.534092559239764
55,2015,2015-01-01,Control,12,1.342651167694609
56,2015,2015-01-01,Control,8,1.8274086997828471
57,2015,2015-01-01,Control,8,1.4250532743609436
58,2015,2015-01-01,Control,6,1.4484894175016845
59,2015,2015-01-01,Control,10,1.660231474591122
60,2015,2015-01-01,Control,9,1.354545082932543
61,2015,2015-01-01,Control,7,0.737162114998889
62,2015,2015-01-01,Control,6,1.2798973969559682
1,2018,2018-01-01,Treated,3,0.9531710017600568
2,2018,2018-01-01,Treated,6,0.8147361442444988
3,2018,2018-01-01,Treated,0,0
4,2018,2018-01-01,Treated,7,0.8851187192071778
5,2018,2018-01-01,Treated,5,0.7567621106245892
6,2018,2018-01-01,Treated,10,1.302070464053689
7,2018,2018-01-01,Treated,7,0.92511915775115
8,2018,2018-01-01,Treated,4,1.2540994652497848
9,2018,2018-01-01,Treated,14,1.6623135822437405
10,2018,2018-01-01,Treated,10,1.65466659987357
11,2018,2018-01-01,Treated,11,1.1255358735267773
12,2018,2018-01-01,Treated,10,1.581994778734385
13,2018,2018-01-01,Treated,7,1.2453615714572883
14,2018,2018-01-01,Treated,13,2.131414713638317
15,2018,2018-01-01,Treated,10,0.8628880737008848
16,2018,2018-01-01,Control,9,1.2231936475228593
17,2018,2018-01-01,Control,8,1.405182304612811
18,2018,2018-01-01,Control,9,1.5165336830720506
19,2018,2018-01-01,Control,8,1.2351708207134855
20,2018,2018-01-01,Control,8,1.690703259519006
21,2018,2018-01-01,Control,6,0.995677767718059
22,2018,2018-01-01,Control,7,0.7842481517593717
23,2018,2018-01-01,Control,5,0.7563238754253365
24,2018,2018-01-01,Control,6,1.1080727412195934
25,2018,2018-01-01,Control,4,0.1715121239659715
26,2018,2018-01-01,Control,5,0.8529927790351294
27,2018,2018-01-01,Control,7,1.3892640187415346
28,2018,2018-01-01,Control,6,1.229702027642266
29,2018,2018-01-01,Control,9,1.7540105996955988
30,2018,2018-01-01,Control,11,1.7995129285131006
31,2018,2018-01-01,Control,6,1.5899619262075426
32,2018,2018-01-01,Control,6,0.8574492959313459
33,2018,2018-01-01,Treated,7,1.1886976267839615
34,2018,2018-01-01,Treated,9,0.7130775936500945
35,2018,2018-01-01,Treated,10,1.2917423122093097
36,2018,2018-01-01,Treated,8,0.6932775638178101
37,2018,2018-01-01,Treated,10,1.4206960048095905
38,2018,2018-01-01,Treated,7,1.3144020699752792
39,2018,2018-01-01,Treated,14,1.87587505943289
40,2018,2018-01-01,Treated,9,1.5665723467031865
41,2018,2018-01-01,Treated,11,1.3593494957029384
42,2018,2018-01-01,Treated,8,1.353921676912374
43,2018,2018-01-01,Treated,7,1.058609344205545
44,2018,2018-01-01,Treated,10,1.437442781943843
45,2018,2018-01-01,Treated,7,1.290934060191847
46,2018,2018-01-01,Treated,10,1.733501127827254
47,2018,2018-01-01,Treated,11,1.1899533229835335
48,2018,2018-01-01,Treated,12,1.956589591453216
49,2018,2018-01-01,Control,7,1.0014384913383827
50,2018,2018-01-01,Control,12,1.1120745021606384
51,2018,2018-01-01,Control,11,1.107087418938154
52,2018,2018-01-01,Control,13,1.8424143293096085
53,2018,2018-01-01,Control,13,0.8215414379391555
54,2018,2018-01-01,Control,12,1.5204006869475917
55,2018,2018-01-01,Control,11,1.7897543622934229
56,2018,2018-01-01,Control,11,1.500362558211355
57,2018,2018-01-01,Control,10,1.3879630856346543
58,2018,2018-01-01,Control,9,1.0212226210451725
59,2018,2018-01-01,Control,9,1.2131072915497754
60,2018,2018-01-01,Control,10,1.2795051392361605
61,2018,2018-01-01,Control,10,0.7432889089247412
62,2018,2018-01-01,Control,10,0.8725139686749988
1,2021,2021-01-01,Treated,5,0.6335525904904635
2,2021,2021-01-01,Treated,3,0.06544951617775603
3,2021,2021-01-01,Treated,4,1.14370838942625
4,2021,2021-01-01,Treated,5,1.210042836557081
5,2021,2021-01-01,Treated,5,0.7891155488379651
6,2021,2021-01-01,Treated,6,0.9083743328217506
7,2021,2021-01-01,Treated,3,1.0054624969484218
8,2021,2021-01-01,Treated,4,0.5394589266732936
9,2021,2021-01-01,Treated,6,1.1082047102607655
10,2021,2021-01-01,Treated,10,1.703191673942403
11,2021,2021-01-01,Treated,5,0.8411701013661774
12,2021,2021-01-01,Treated,7,1.4284442512026887
13,2021,2021-01-01,Treated,6,1.7572453054632329
14,2021,2021-01-01,Treated,6,0.759284720030114
15,2021,2021-01-01,Treated,11,1.64391574678637
16,2021,2021-01-01,Control,8,1.1933024886997694
17,2021,2021-01-01,Control,9,1.5235881823585276
18,2021,2021-01-01,Control,11,1.4897512465417413
19,2021,2021-01-01,Control,8,0.8698680131956419
20,2021,2021-01-01,Control,5,1.4415106860177025
21,2021,2021-01-01,Control,7,1.3786502263325526
22,2021,2021-01-01,Control,5,1.2068598791923733
23,2021,2021-01-01,Control,3,0.5558709041115865
24,2021,2021-01-01,Control,3,0.3455962072461749
25,2021,2021-01-01,Control,5,1.2623640284140685
26,2021,2021-01-01,Control,5,1.4964159349401391
27,2021,2021-01-01,Control,7,1.4448023328611523
28,2021,2021-01-01,Control,8,1.3848541068544546
29,2021,2021-01-01,Control,9,1.6243827959700494
30,2021,2021-01-01,Control,7,1.5634012540791982
31,2021,2021-01-01,Control,9,1.737243455016807
32,2021,2021-01-01,Control,9,1.8352134299465457
33,2021,2021-01-01,Treated,6,0.8389317075766274
34,2021,2021-01-01,Treated,12,1.865299346951475
35,2021,2021-01-01,Treated,4,0.293992247305323
36,2021,2021-01-01,Treated,7,1.1501516687742042
37,2021,2021-01-01,Treated,9,1.1168794883120603
38,2021,2021-01-01,Treated,8,0.7821159038529104
39,2021,2021-01-01,Treated,8,1.097779282033291
40,2021,2021-01-01,Treated,8,0.7500338236614613
41,2021,2021-01-01,Treated,3,0.7450774786703536
42,2021,2021-01-01,Treated,6,0.9199946922251676
43,2021,2021-01-01,Treated,6,1.0413525309581473
44,2021,2021-01-01,Treated,7,1.2774116586198383
45,2021,2021-01-01,Treated,8,1.08434985128518
46,2021,2021-01-01,Treated,12,2.1742821511866537
47,2021,2021-01-01,Treated,9,1.894253543112036
48,2021,2021-01-01,Treated,8,1.5349277669563357
49,2021,2021-01-01,Control,6,0.901235352054727
50,2021,2021-01-01,Control,8,1.3203274495142263
51,2021,2021-01-01,Control,11,0.7597998920008825
52,2021,2021-01-01,Control,6,0.7066033936504007
53,2021,2021-01-01,Control,10,1.2361364089897036
54,2021,2021-01-01,Control,10,1.504240882342905
55,2021,2021-01-01,Control,9,1.369777561827064
56,2021,2021-01-01,Control,12,2.0683209857199008
57,2021,2021-01-01,Control,6,0.610671627847054
58,2021,2021-01-01,Control,6,0.9760985003055694
59,2021,2021-01-01,Control,9,1.3824029158420554
60,2021,2021-01-01,Control,8,1.238236048753842
61,2021,2021-01-01,Control,8,1.1888739842683589
62,2021,2021-01-01,Control,8,0.7626886483346411
