Sample,Year,year.xaxis,Treatment,Cover
5,2013,2013-01-01,Treated,0
6,2013,2013-01-01,Treated,13.833333333333334
7,2013,2013-01-01,Treated,0.08333333333333333
8,2013,2013-01-01,Treated,0
9,2013,2013-01-01,Treated,7.666666666666667
10,2013,2013-01-01,Treated,2.5
11,2013,2013-01-01,Treated,0
12,2013,2013-01-01,Treated,18.5
13,2013,2013-01-01,Treated,12.583333333333334
14,2013,2013-01-01,Treated,13.416666666666666
15,2013,2013-01-01,Treated,5.5
16,2013,2013-01-01,Control,30.416666666666668
17,2013,2013-01-01,Control,2.9166666666666665
18,2013,2013-01-01,Control,0
19,2013,2013-01-01,Control,15.416666666666666
20,2013,2013-01-01,Control,22.916666666666668
21,2013,2013-01-01,Control,0
22,2013,2013-01-01,Control,3.333333333333333
23,2013,2013-01-01,Control,0.8333333333333334
24,2013,2013-01-01,Control,0.5
25,2013,2013-01-01,Control,0
26,2013,2013-01-01,Control,0.4166666666666667
27,2013,2013-01-01,Control,0
28,2013,2013-01-01,Control,19.583333333333332
29,2013,2013-01-01,Control,5.083333333333333
30,2013,2013-01-01,Control,2.5
31,2013,2013-01-01,Control,11.25
32,2013,2013-01-01,Control,11.666666666666666
33,2013,2013-01-01,Treated,2.5
34,2013,2013-01-01,Treated,48.33333333333333
35,2013,2013-01-01,Treated,32.5
37,2013,2013-01-01,Treated,46.666666666666664
38,2013,2013-01-01,Treated,18
39,2013,2013-01-01,Treated,2.9166666666666665
40,2013,2013-01-01,Treated,3
41,2013,2013-01-01,Treated,23.416666666666668
42,2013,2013-01-01,Treated,37.916666666666664
43,2013,2013-01-01,Treated,42.5
44,2013,2013-01-01,Treated,32.75
45,2013,2013-01-01,Treated,32.916666666666664
46,2013,2013-01-01,Treated,21.666666666666668
47,2013,2013-01-01,Treated,2.5
49,2013,2013-01-01,Control,13.416666666666666
50,2013,2013-01-01,Control,17.916666666666668
51,2013,2013-01-01,Control,3
52,2013,2013-01-01,Control,6
53,2013,2013-01-01,Control,3.5833333333333335
54,2013,2013-01-01,Control,24.166666666666668
55,2013,2013-01-01,Control,15.083333333333334
56,2013,2013-01-01,Control,30.416666666666668
57,2013,2013-01-01,Control,9.166666666666666
59,2013,2013-01-01,Control,24.666666666666664
60,2013,2013-01-01,Control,25.5
61,2013,2013-01-01,Control,6.25
62,2013,2013-01-01,Control,2.9166666666666665
1,2014,2014-01-01,Treated,0
2,2014,2014-01-01,Treated,0.25
3,2014,2014-01-01,Treated,0.125
4,2014,2014-01-01,Treated,0
5,2014,2014-01-01,Treated,0
6,2014,2014-01-01,Treated,10.625
7,2014,2014-01-01,Treated,0.125
8,2014,2014-01-01,Treated,0
9,2014,2014-01-01,Treated,15.125
10,2014,2014-01-01,Treated,0.75
11,2014,2014-01-01,Treated,0.125
12,2014,2014-01-01,Treated,8.125
13,2014,2014-01-01,Treated,17
14,2014,2014-01-01,Treated,17.875
15,2014,2014-01-01,Treated,0.875
17,2014,2014-01-01,Control,16.375
18,2014,2014-01-01,Control,0
19,2014,2014-01-01,Control,9.5
20,2014,2014-01-01,Control,15.75
21,2014,2014-01-01,Control,4.5
22,2014,2014-01-01,Control,13.125
23,2014,2014-01-01,Control,0.875
24,2014,2014-01-01,Control,0.625
25,2014,2014-01-01,Control,0
26,2014,2014-01-01,Control,0
27,2014,2014-01-01,Control,0
28,2014,2014-01-01,Control,9.375
29,2014,2014-01-01,Control,4.5
30,2014,2014-01-01,Control,8.125
31,2014,2014-01-01,Control,3.75
32,2014,2014-01-01,Control,0.625
33,2014,2014-01-01,Treated,8.875
34,2014,2014-01-01,Treated,77.5
35,2014,2014-01-01,Treated,56.25
36,2014,2014-01-01,Treated,63.125
37,2014,2014-01-01,Treated,28.75
38,2014,2014-01-01,Treated,5.125
39,2014,2014-01-01,Treated,13.125
40,2014,2014-01-01,Treated,41.25
41,2014,2014-01-01,Treated,20.25
42,2014,2014-01-01,Treated,28.75
43,2014,2014-01-01,Treated,36.375
44,2014,2014-01-01,Treated,23.875
45,2014,2014-01-01,Treated,11.25
46,2014,2014-01-01,Treated,0.625
47,2014,2014-01-01,Treated,0.75
48,2014,2014-01-01,Treated,17.5
49,2014,2014-01-01,Control,11.25
50,2014,2014-01-01,Control,11.875
51,2014,2014-01-01,Control,4.5
52,2014,2014-01-01,Control,0.625
53,2014,2014-01-01,Control,20.125
54,2014,2014-01-01,Control,16.875
55,2014,2014-01-01,Control,5
56,2014,2014-01-01,Control,17.625
57,2014,2014-01-01,Control,20.625
58,2014,2014-01-01,Control,20
59,2014,2014-01-01,Control,18.125
60,2014,2014-01-01,Control,30.25
61,2014,2014-01-01,Control,5.125
62,2014,2014-01-01,Control,10
1,2015,2015-01-01,Treated,0
2,2015,2015-01-01,Treated,0.125
3,2015,2015-01-01,Treated,0
4,2015,2015-01-01,Treated,0
5,2015,2015-01-01,Treated,0
6,2015,2015-01-01,Treated,13.125
7,2015,2015-01-01,Treated,0.125
8,2015,2015-01-01,Treated,0
9,2015,2015-01-01,Treated,15.125
10,2015,2015-01-01,Treated,0.75
11,2015,2015-01-01,Treated,0
12,2015,2015-01-01,Treated,3.875
13,2015,2015-01-01,Treated,8.25
14,2015,2015-01-01,Treated,5.125
15,2015,2015-01-01,Treated,0.375
16,2015,2015-01-01,Control,10.875
17,2015,2015-01-01,Control,0.125
18,2015,2015-01-01,Control,0.25
19,2015,2015-01-01,Control,1.5
20,2015,2015-01-01,Control,11.25
21,2015,2015-01-01,Control,0.25
22,2015,2015-01-01,Control,5.125
23,2015,2015-01-01,Control,1.375
24,2015,2015-01-01,Control,0.625
25,2015,2015-01-01,Control,0
26,2015,2015-01-01,Control,0
27,2015,2015-01-01,Control,1.25
28,2015,2015-01-01,Control,0
29,2015,2015-01-01,Control,4.375
30,2015,2015-01-01,Control,0.875
31,2015,2015-01-01,Control,5
32,2015,2015-01-01,Control,0.75
33,2015,2015-01-01,Treated,22.625
34,2015,2015-01-01,Treated,59.375
35,2015,2015-01-01,Treated,66.875
36,2015,2015-01-01,Treated,63.125
37,2015,2015-01-01,Treated,35
38,2015,2015-01-01,Treated,16.25
39,2015,2015-01-01,Treated,19.375
40,2015,2015-01-01,Treated,41.25
41,2015,2015-01-01,Treated,33.125
42,2015,2015-01-01,Treated,32
43,2015,2015-01-01,Treated,39.5
44,2015,2015-01-01,Treated,20.125
45,2015,2015-01-01,Treated,17.5
46,2015,2015-01-01,Treated,9.5
47,2015,2015-01-01,Treated,5.125
48,2015,2015-01-01,Treated,29.375
49,2015,2015-01-01,Control,0.125
50,2015,2015-01-01,Control,3.75
51,2015,2015-01-01,Control,1.875
52,2015,2015-01-01,Control,0.875
53,2015,2015-01-01,Control,8.25
54,2015,2015-01-01,Control,16.875
55,2015,2015-01-01,Control,18.75
56,2015,2015-01-01,Control,21.25
57,2015,2015-01-01,Control,12.5
58,2015,2015-01-01,Control,13.125
59,2015,2015-01-01,Control,48.375
60,2015,2015-01-01,Control,8.25
61,2015,2015-01-01,Control,5.125
62,2015,2015-01-01,Control,4.375
1,2018,2018-01-01,Treated,0
2,2018,2018-01-01,Treated,0.125
3,2018,2018-01-01,Treated,0
4,2018,2018-01-01,Treated,0
5,2018,2018-01-01,Treated,0
6,2018,2018-01-01,Treated,10
7,2018,2018-01-01,Treated,0
8,2018,2018-01-01,Treated,0
9,2018,2018-01-01,Treated,18.25
10,2018,2018-01-01,Treated,0.75
11,2018,2018-01-01,Treated,0.25
12,2018,2018-01-01,Treated,1.875
13,2018,2018-01-01,Treated,7.625
14,2018,2018-01-01,Treated,9.375
15,2018,2018-01-01,Treated,0.375
16,2018,2018-01-01,Control,42
17,2018,2018-01-01,Control,0.625
18,2018,2018-01-01,Control,0.625
19,2018,2018-01-01,Control,1.375
20,2018,2018-01-01,Control,27
21,2018,2018-01-01,Control,0.875
22,2018,2018-01-01,Control,3.75
23,2018,2018-01-01,Control,0
24,2018,2018-01-01,Control,0.125
25,2018,2018-01-01,Control,0
26,2018,2018-01-01,Control,0
27,2018,2018-01-01,Control,0
28,2018,2018-01-01,Control,0.75
29,2018,2018-01-01,Control,9.5
30,2018,2018-01-01,Control,10
31,2018,2018-01-01,Control,9.375
32,2018,2018-01-01,Control,0
33,2018,2018-01-01,Treated,30
34,2018,2018-01-01,Treated,74.375
35,2018,2018-01-01,Treated,47.5
36,2018,2018-01-01,Treated,56.25
37,2018,2018-01-01,Treated,35.625
38,2018,2018-01-01,Treated,28.75
39,2018,2018-01-01,Treated,13.125
40,2018,2018-01-01,Treated,32
41,2018,2018-01-01,Treated,48.25
42,2018,2018-01-01,Treated,29.375
43,2018,2018-01-01,Treated,29.375
44,2018,2018-01-01,Treated,23.75
45,2018,2018-01-01,Treated,13.75
46,2018,2018-01-01,Treated,5.25
47,2018,2018-01-01,Treated,4.375
48,2018,2018-01-01,Treated,13.125
49,2018,2018-01-01,Control,5
50,2018,2018-01-01,Control,5
51,2018,2018-01-01,Control,0.25
52,2018,2018-01-01,Control,8.75
53,2018,2018-01-01,Control,2
54,2018,2018-01-01,Control,16.875
55,2018,2018-01-01,Control,13.125
56,2018,2018-01-01,Control,5.125
57,2018,2018-01-01,Control,21.875
58,2018,2018-01-01,Control,26.25
59,2018,2018-01-01,Control,10.125
60,2018,2018-01-01,Control,15
61,2018,2018-01-01,Control,6
62,2018,2018-01-01,Control,1.0625
1,2021,2021-01-01,Treated,0
2,2021,2021-01-01,Treated,0.625
3,2021,2021-01-01,Treated,0.125
4,2021,2021-01-01,Treated,0.625
5,2021,2021-01-01,Treated,0
6,2021,2021-01-01,Treated,0.875
7,2021,2021-01-01,Treated,13.125
8,2021,2021-01-01,Treated,0
9,2021,2021-01-01,Treated,10.125
10,2021,2021-01-01,Treated,1.375
11,2021,2021-01-01,Treated,0.75
12,2021,2021-01-01,Treated,3.875
13,2021,2021-01-01,Treated,5
14,2021,2021-01-01,Treated,0.625
15,2021,2021-01-01,Treated,1.25
16,2021,2021-01-01,Control,20.125
17,2021,2021-01-01,Control,18.25
18,2021,2021-01-01,Control,4.375
19,2021,2021-01-01,Control,3.875
20,2021,2021-01-01,Control,8.125
21,2021,2021-01-01,Control,17
22,2021,2021-01-01,Control,36.875
23,2021,2021-01-01,Control,3.75
24,2021,2021-01-01,Control,0
25,2021,2021-01-01,Control,0
26,2021,2021-01-01,Control,3.75
27,2021,2021-01-01,Control,34.375
28,2021,2021-01-01,Control,3.875
29,2021,2021-01-01,Control,28.125
30,2021,2021-01-01,Control,11.25
31,2021,2021-01-01,Control,23.875
32,2021,2021-01-01,Control,21.875
33,2021,2021-01-01,Treated,30
34,2021,2021-01-01,Treated,32.625
35,2021,2021-01-01,Treated,58.75
36,2021,2021-01-01,Treated,38.125
37,2021,2021-01-01,Treated,10
38,2021,2021-01-01,Treated,32.625
39,2021,2021-01-01,Treated,10
40,2021,2021-01-01,Treated,32.625
41,2021,2021-01-01,Treated,0
42,2021,2021-01-01,Treated,35
43,2021,2021-01-01,Treated,50
44,2021,2021-01-01,Treated,20.75
45,2021,2021-01-01,Treated,26.875
46,2021,2021-01-01,Treated,9
47,2021,2021-01-01,Treated,27.5
48,2021,2021-01-01,Treated,21.25
49,2021,2021-01-01,Control,12.5
50,2021,2021-01-01,Control,10.75
51,2021,2021-01-01,Control,0.75
52,2021,2021-01-01,Control,28.875
53,2021,2021-01-01,Control,4.5
54,2021,2021-01-01,Control,28.875
55,2021,2021-01-01,Control,31.25
56,2021,2021-01-01,Control,5.125
57,2021,2021-01-01,Control,32.5
58,2021,2021-01-01,Control,31.25
59,2021,2021-01-01,Control,20.625
60,2021,2021-01-01,Control,23.75
61,2021,2021-01-01,Control,10
62,2021,2021-01-01,Control,4.375
