Sample,Channel,Station,Treatment3,CV,CV_log,CV0
45,Channel 13,Station 4 + 14.5 BAF,Treated,0.39554741551617034,-0.9274846114352805,0.39554741551617034
46,Channel 13,Station 4 + 36 ORD,Treated,0.9929745364714666,-0.007050258295494152,0.9929745364714666
47,Channel 13,Station 4 + 50 BAF,Treated,1.4176480767665383,0.3489992144912205,1.4176480767665383
48,Channel 13,Station 4 + 78 ORD,Treated,0.3039146520624448,-1.1910083667881064,0.3039146520624448
49,Channel 12,Station 1 + 04,Control,0.7814967170116114,-0.24654433001028503,0.7814967170116114
50,Channel 12,Station 1 + 52,Control,0.5351147985428399,-0.6252739783888325,0.5351147985428399
51,Channel 12,Station 1 + 83,Control,0.9208898142234754,-0.08241488699198134,0.9208898142234754
52,Channel 12,Station 2 + 63,Control,1.0427232420434658,0.04183579281478581,1.0427232420434658
53,Channel 12,Station 2 + 98,Control,1.0661811824068825,0.06408327603569515,1.0661811824068825
54,Channel 12,Station 3 + 93,Control,0.251346671513968,-1.3809221313662137,0.251346671513968
55,Channel 12,Station 4 + 00,Control,0.7022179380391617,-0.35351147008966277,0.7022179380391617
56,Channel 12,Station 4 + 09,Control,0.6382788017489452,-0.4489800977542232,0.6382788017489452
57,Channel 12,Station 4 + 56,Control,0.4186078234795623,-0.8708207795138252,0.4186078234795623
58,Channel 12,Station 4 + 65,Control,0.3760930649451171,-0.9779186530666621,0.3760930649451171
59,Channel 12,Station 5 + 13,Control,0.5682624675618384,-0.5651718762141663,0.5682624675618384
60,Channel 12,Station 5 + 48,Control,0.39110674645276283,-0.9387747474263052,0.39110674645276283
61,Channel 12,Station 6 + 30,Control,0.41277712639722935,-0.8848474772094475,0.41277712639722935
62,Channel 12,Station 6 + 93,Control,0.664708522912122,-0.4084066458231502,0.664708522912122
