# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-10 15:58:57 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2020' to '11/30/2020'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2020-08-29 15:50:57,5.55,
6380,2020-08-29 15:49:01,5.51,
6380,2020-08-29 15:46:47,5.47,
6380,2020-08-29 15:45:25,5.43,
6380,2020-08-29 15:37:21,5.39,
6380,2020-08-29 15:36:15,5.35,
6380,2020-08-29 15:35:25,5.31,
6380,2020-08-29 15:34:48,5.28,
6380,2020-08-29 15:34:08,5.24,
6380,2020-08-29 15:33:33,5.20,
6380,2020-08-29 15:32:58,5.16,
6380,2020-08-29 15:32:27,5.12,
6380,2020-08-29 15:31:57,5.08,
6380,2020-08-29 15:31:27,5.04,
6380,2020-08-29 15:30:58,5.00,
6380,2020-08-29 15:30:14,4.92,
6380,2020-08-29 15:29:34,4.88,
6380,2020-08-29 15:28:55,4.84,
6380,2020-08-29 15:28:16,4.80,
6380,2020-08-29 15:27:43,4.76,
6380,2020-08-29 15:27:01,4.72,
6380,2020-08-29 15:26:25,4.69,
6380,2020-08-29 15:25:46,4.65,
6380,2020-08-29 15:25:02,4.61,
6380,2020-08-29 15:24:03,4.57,
6380,2020-08-29 15:22:54,4.53,
6380,2020-08-29 15:21:39,4.49,
6380,2020-08-29 15:20:00,4.45,
6380,2020-08-29 15:18:46,4.41,
6380,2020-08-29 15:17:07,4.37,
6380,2020-08-29 15:15:57,4.33,
6380,2020-08-29 15:14:54,4.29,
6380,2020-08-29 15:13:58,4.25,
6380,2020-08-29 15:12:51,4.21,
6380,2020-08-29 15:12:16,4.17,
6380,2020-08-29 15:11:23,4.13,
6380,2020-08-29 15:10:45,4.09,
6380,2020-08-29 15:10:13,4.06,
6380,2020-08-29 15:09:36,4.02,
6380,2020-08-29 15:08:45,3.98,
6380,2020-08-29 15:07:54,3.94,
6380,2020-08-29 15:06:52,3.90,
6380,2020-08-29 15:05:46,3.86,
6380,2020-08-29 15:04:44,3.82,
6380,2020-08-29 15:02:41,3.78,
6380,2020-08-29 14:58:52,3.74,
6380,2020-08-29 14:56:39,3.70,
6380,2020-08-29 14:54:12,3.66,
6380,2020-08-29 14:48:25,3.62,
6380,2020-08-29 14:44:48,3.58,
6380,2020-08-29 14:42:28,3.54,
6380,2020-08-29 14:41:45,3.50,
6380,2020-08-29 14:41:12,3.46,
6380,2020-08-29 14:40:37,3.43,
6380,2020-08-29 14:39:14,3.39,
6380,2020-08-29 14:37:24,3.35,
6380,2020-08-29 14:32:39,3.31,
6380,2020-08-29 14:27:47,3.27,
6380,2020-08-29 10:00:28,3.23,
6380,2020-08-28 22:00:28,3.23,
6380,2020-08-28 17:01:52,3.23,
6380,2020-08-28 16:59:00,3.19,
6380,2020-08-28 16:53:04,3.15,
6380,2020-08-28 16:41:40,3.11,
6380,2020-08-28 14:49:25,3.07,
6380,2020-08-28 10:00:28,3.03,
6380,2020-08-27 22:00:28,3.03,
6380,2020-08-27 10:00:28,3.03,
6380,2020-08-26 22:00:28,3.03,
6380,2020-08-26 10:00:28,3.03,
6380,2020-08-25 22:00:28,3.03,
6380,2020-08-25 10:00:28,3.03,
6380,2020-08-24 22:00:28,3.03,
6380,2020-08-24 10:00:28,3.03,
6380,2020-08-23 22:00:29,3.03,
6380,2020-08-23 10:00:28,3.03,
6380,2020-08-22 22:00:28,3.03,
6380,2020-08-22 10:00:28,3.03,
6380,2020-08-21 22:00:28,3.03,
6380,2020-08-21 10:00:29,3.03,
6380,2020-08-20 22:00:28,3.03,
6380,2020-08-20 17:21:00,3.03,
6380,2020-08-20 10:00:29,2.99,
6380,2020-08-19 22:00:29,2.99,
6380,2020-08-19 10:00:29,2.99,
6380,2020-08-18 22:00:29,2.99,
6380,2020-08-18 10:00:29,2.99,
6380,2020-08-17 22:00:29,2.99,
6380,2020-08-17 10:00:29,2.99,
6380,2020-08-16 22:00:29,2.99,
6380,2020-08-16 10:00:30,2.99,
6380,2020-08-15 22:00:30,2.99,
6380,2020-08-15 20:23:00,2.99,
6380,2020-08-15 20:14:42,2.95,
6380,2020-08-15 20:12:54,2.91,
6380,2020-08-15 20:11:17,2.87,
6380,2020-08-15 20:09:57,2.83,
6380,2020-08-15 20:08:07,2.80,
6380,2020-08-15 20:07:28,2.76,
6380,2020-08-15 20:06:58,2.72,
6380,2020-08-15 20:06:32,2.68,
6380,2020-08-15 20:05:56,2.64,
6380,2020-08-15 20:05:18,2.60,
6380,2020-08-15 20:04:43,2.56,
6380,2020-08-15 20:04:04,2.52,
6380,2020-08-15 20:02:40,2.48,
6380,2020-08-15 19:58:03,2.44,
6380,2020-08-15 19:56:14,2.40,
6380,2020-08-15 10:00:29,2.36,
6380,2020-08-14 22:00:29,2.36,
6380,2020-08-14 10:00:29,2.36,
6380,2020-08-13 22:00:29,2.36,
6380,2020-08-13 10:00:30,2.36,
6380,2020-08-12 22:00:29,2.36,
6380,2020-08-12 10:00:29,2.36,
6380,2020-08-11 22:00:29,2.36,
6380,2020-08-11 10:00:29,2.36,
6380,2020-08-10 22:00:30,2.36,
6380,2020-08-10 10:00:30,2.36,
6380,2020-08-09 22:00:29,2.36,
6380,2020-08-09 10:00:30,2.36,
6380,2020-08-08 22:00:29,2.36,
6380,2020-08-08 10:00:30,2.36,
6380,2020-08-07 22:00:29,2.36,
6380,2020-08-07 10:00:30,2.36,
6380,2020-08-06 22:00:29,2.36,
6380,2020-08-06 10:00:30,2.36,
6380,2020-08-05 22:00:29,2.36,
6380,2020-08-05 10:00:29,2.36,
6380,2020-08-04 22:00:31,2.36,
6380,2020-08-04 10:00:29,2.36,
6380,2020-08-03 22:00:29,2.36,
6380,2020-08-03 10:00:29,2.36,
6380,2020-08-02 22:00:29,2.36,
6380,2020-08-02 10:00:30,2.36,
6380,2020-08-01 22:00:29,2.36,
6380,2020-08-01 10:00:30,2.36,
6380,2020-07-31 22:00:29,2.36,
6380,2020-07-31 10:00:30,2.36,
6380,2020-07-30 22:00:30,2.36,
6380,2020-07-30 10:00:29,2.36,
6380,2020-07-29 22:00:30,2.36,
6380,2020-07-29 10:00:30,2.36,
6380,2020-07-28 22:00:30,2.36,
6380,2020-07-28 10:00:30,2.36,
6380,2020-07-27 22:00:29,2.36,
6380,2020-07-27 10:00:30,2.36,
6380,2020-07-26 22:00:29,2.36,
6380,2020-07-26 10:00:30,2.36,
6380,2020-07-25 22:00:29,2.36,
6380,2020-07-25 10:00:30,2.36,
6380,2020-07-24 22:00:29,2.36,
6380,2020-07-24 10:00:29,2.36,
6380,2020-07-23 22:00:29,2.36,
6380,2020-07-23 12:16:20,2.36,
6380,2020-07-23 12:11:40,2.32,
6380,2020-07-23 12:07:22,2.28,
6380,2020-07-23 12:04:49,2.24,
6380,2020-07-23 12:02:16,2.20,
6380,2020-07-23 12:00:30,2.17,
6380,2020-07-23 11:58:30,2.13,
6380,2020-07-23 11:56:37,2.09,
6380,2020-07-23 11:55:22,2.05,
6380,2020-07-23 11:53:39,2.01,
6380,2020-07-23 11:52:06,1.97,
6380,2020-07-23 11:51:05,1.93,
6380,2020-07-23 11:50:11,1.89,
6380,2020-07-23 11:49:18,1.85,
6380,2020-07-23 11:48:32,1.81,
6380,2020-07-23 11:47:59,1.77,
6380,2020-07-23 11:47:29,1.73,
6380,2020-07-23 11:46:59,1.69,
6380,2020-07-23 11:46:29,1.65,
6380,2020-07-23 11:45:28,1.61,
6380,2020-07-23 11:44:53,1.57,
6380,2020-07-23 11:44:22,1.54,
6380,2020-07-23 11:43:53,1.50,
6380,2020-07-23 11:43:20,1.46,
6380,2020-07-23 11:42:46,1.42,
6380,2020-07-23 11:42:05,1.38,
6380,2020-07-23 11:41:24,1.34,
6380,2020-07-23 11:40:43,1.30,
6380,2020-07-23 11:40:03,1.26,
6380,2020-07-23 11:39:21,1.22,
6380,2020-07-23 11:38:35,1.18,
6380,2020-07-23 11:37:55,1.14,
6380,2020-07-23 11:37:11,1.10,
6380,2020-07-23 11:36:20,1.06,
6380,2020-07-23 11:35:19,1.02,
6380,2020-07-23 11:34:27,.98,
6380,2020-07-23 11:33:33,.94,
6380,2020-07-23 11:32:16,.91,
6380,2020-07-23 11:30:07,.87,
6380,2020-07-23 11:28:04,.83,
6380,2020-07-23 11:26:32,.79,
6380,2020-07-23 10:00:29,.75,
6380,2020-07-22 22:00:29,.75,
6380,2020-07-22 10:00:30,.75,
6380,2020-07-21 22:00:30,.75,
6380,2020-07-21 10:00:30,.75,
6380,2020-07-20 22:00:30,.75,
6380,2020-07-20 10:00:30,.75,
6380,2020-07-19 22:00:30,.75,
6380,2020-07-19 10:00:31,.75,
6380,2020-07-18 22:00:30,.75,
6380,2020-07-18 10:00:31,.75,
6380,2020-07-17 22:00:30,.75,
6380,2020-07-17 10:00:30,.75,
6380,2020-07-16 22:00:30,.75,
6380,2020-07-16 10:00:30,.75,
6380,2020-07-15 22:00:30,.75,
6380,2020-07-15 10:00:30,.75,
6380,2020-07-14 22:00:30,.75,
6380,2020-07-14 10:00:30,.75,
6380,2020-07-13 22:00:30,.75,
6380,2020-07-13 10:00:30,.75,
6380,2020-07-12 22:00:30,.75,
6380,2020-07-12 17:39:33,.75,
6380,2020-07-12 17:30:58,.71,
6380,2020-07-12 17:28:08,.67,
6380,2020-07-12 17:23:15,.63,
6380,2020-07-12 17:19:18,.55,
6380,2020-07-12 17:17:50,.51,
6380,2020-07-12 17:16:15,.47,
6380,2020-07-12 17:14:11,.43,
6380,2020-07-12 17:12:07,.39,
6380,2020-07-12 17:09:44,.35,
6380,2020-07-12 17:07:40,.31,
6380,2020-07-12 17:06:32,.28,
6380,2020-07-12 10:00:30,.24,
6380,2020-07-11 22:00:30,.24,
